weeks_on_chart,danceability,mode
1,0.889,1
1,0.685,0
1,0.412,0
1,0.665,0
1,0.708,0
1,0.412,1
2,0.89,1
1,0.413,0
1,0.819,1
2,0.412,1
29,0.695,0
1,0.794,0
22,0.635,1
50,0.609,1
2,0.686,1
2,0.559,1
1,0.712,0
2,0.645,1
2,0.576,1
3,0.79,1
2,0.555,1
2,0.829,0
2,0.707,0
2,0.721,1
3,0.775,0
2,0.417,1
2,0.876,0
4,0.503,0
4,0.81,1
1,0.808,1
6,0.376,1
4,0.629,1
3,0.636,1
4,0.849,0
7,0.763,0
5,0.315,0
5,0.905,1
3,0.852,0
4,0.833,1
5,0.883,1
1,0.696,0
6,0.683,1
2,0.582,1
104,0.676,1
4,0.863,1
6,0.544,1
8,0.703,0
2,0.764,0
5,0.577,1
3,0.907,0
3,0.529,1
5,0.839,0
6,0.874,1
9,0.603,1
1,0.724,1
1,0.633,1
1,0.602,0
1,0.877,1
2,0.805,1
1,0.576,0
2,0.827,1
2,0.554,1
1,0.812,0
2,0.557,0
46,0.645,0
36,0.515,1
1,0.684,1
1,0.861,1
1,0.789,1
81,0.567,1
1,0.563,0
34,0.448,0
1,0.867,0
1,0.68,1
2,0.601,1
39,0.516,1
29,0.544,1
2,0.558,1
1,0.789,0
1,0.444,1
1,0.511,0
3,0.348,1
1,0.666,1
1,0.48,0
1,0.706,1
2,0.437,1
216,0.872,0
1,0.721,0
1,0.629,0
1,0.782,0
1,0.535,1
1,0.714,1
1,0.885,1
1,0.794,0
1,0.456,1
1,0.532,1
2,0.684,1
1,0.786,0
1,0.782,0
1,0.693,0
1,0.594,1
154,0.614,1
1,0.744,1
2,0.514,0
2,0.776,0
2,0.605,1
2,0.731,1
1,0.66,0
4,0.81,0
2,0.648,1
1,0.514,0
1,0.567,0
1,0.481,1
1,0.727,1
1,0.355,0
1,0.52,1
1,0.618,0
1,0.652,1
1,0.492,0
1,0.832,1
2,0.7,0
2,0.71,1
1,0.363,0
2,0.47,1
1,0.728,0
1,0.467,1
8,0.716,1
2,0.523,1
1,0.597,1
2,0.601,1
1,0.842,0
1,0.417,1
1,0.359,1
4,0.467,1
1,0.947,0
2,0.601,1
1,0.747,0
2,0.738,0
16,0.316,1
1,0.667,0
1,0.733,1
1,0.417,0
1,0.938,1
3,0.783,1
3,0.442,0
1,0.81,1
5,0.853,1
1,0.721,1
3,0.714,0
4,0.882,0
36,0.792,0
1,0.675,0
2,0.855,1
1,0.444,0
1,0.512,0
1,0.528,1
1,0.474,0
1,0.922,0
1,0.893,1
96,0.908,0
1,0.563,0
1,0.646,1
3,0.621,0
1,0.672,0
1,0.589,1
1,0.853,0
1,0.408,1
11,0.583,1
1,0.529,1
2,0.773,1
1,0.727,1
1,0.832,1
1,0.711,0
1,0.652,1
1,0.911,1
1,0.709,1
1,0.824,0
1,0.916,1
1,0.763,0
1,0.587,0
1,0.735,1
1,0.713,1
2,0.878,1
1,0.574,0
1,0.617,1
1,0.642,0
1,0.748,1
2,0.927,0
1,0.744,1
1,0.611,0
1,0.314,1
1,0.583,1
1,0.517,1
1,0.645,0
1,0.475,0
1,0.713,1
1,0.485,0
1,0.301,1
1,0.95,1
1,0.704,1
1,0.834,0
1,0.466,1
1,0.811,0
1,0.712,1
1,0.593,0
1,0.702,1
1,0.572,0
1,0.816,1
1,0.817,0
1,0.741,1
1,0.394,1
1,0.804,0
1,0.718,1
1,0.765,1
1,0.6,1
1,0.826,0
1,0.883,1
1,0.593,0
1,0.193,0
1,0.502,0
1,0.775,0
1,0.718,1
1,0.557,1
1,0.608,1
1,0.985,1
1,0.886,0
2,0.772,1
179,0.748,1
26,0.702,1
1,0.28,0
1,0.736,0
1,0.309,0
1,0.447,0
1,0.767,1
1,0.447,1
1,0.394,0
1,0.679,1
1,0.632,1
1,0.903,0
1,0.895,0
1,0.878,1
21,0.747,1
9,0.523,1
5,0.725,0
1,0.578,1
1,0.872,0
1,0.73,0
1,0.476,0
